=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-3-2_20-8-15
====================================================================================
20:8:15 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
20:8:15 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
20:8:15 | [PermissionManager] Perm (MenuBansManager) has been registered!
20:8:15 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
20:8:15 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
20:8:15 | [PermissionManager] Perm (MenuWebHooks) has been registered!
20:8:15 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
20:8:15 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
20:8:15 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
20:8:15 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
20:8:15 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
20:8:15 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
20:8:15 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
20:8:15 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
20:8:15 | [PermissionManager] Adding Super Admin (76561198120369757)
20:8:15 | [PermissionManager] Adding Super Admin (76561198360290787)
20:8:15 | [PermissionManager] Loaded UserGroups.json
20:8:15 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
20:8:15 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
20:8:15 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
20:8:15 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
20:8:15 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
20:8:15 | Building Sets Loaded: 0
20:8:15 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
20:8:15 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
20:10:14 | Player "Barreto" (steamId=76561198360290787) connected to server!
20:10:36 | "Barreto" (steamid=76561198360290787) healed player (steamid=76561198360290787)
20:10:37 | "Barreto" (steamid=76561198360290787) gave godmode to (steamid=76561198360290787)
20:10:37 | "Barreto" (steamid=76561198360290787) gave unlimited ammo to (steamid=76561198360290787)
20:10:40 | "Barreto" (steamid=76561198360290787) /heal used on: "Barreto" (steamid=76561198360290787)
20:10:53 | "Barreto" (steamid=76561198360290787) toggled freecam
20:11:5 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2778.473145, 219.314453, 5353.553223>)
20:11:6 | "Barreto" (steamid=76561198360290787) toggled freecam
20:11:18 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2721.391602, 212.604431, 5259.270996>)
20:11:30 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2674.987549, 208.711670, 5233.059570>)
20:11:38 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2653.589600, 207.159149, 5206.471680>)
20:11:41 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2619.585693, 202.612289, 5204.974121>)
20:11:44 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2609.351074, 195.633377, 5177.359375>)
20:11:58 | "Barreto" (steamid=76561198360290787) toggled freecam
20:12:4 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<1809.124512, 173.570984, 5181.467285>)
20:12:6 | "Barreto" (steamid=76561198360290787) toggled freecam
20:12:21 | "Barreto" (steamid=76561198360290787) toggled freecam
20:12:27 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2436.420898, 191.216476, 5049.648926>)
20:12:28 | "Barreto" (steamid=76561198360290787) toggled freecam
20:13:16 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2526.399658, 193.348129, 5124.437012>)
20:13:17 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2512.718994, 192.389984, 5124.239258>)
20:13:18 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2501.542725, 191.551971, 5132.740234>)
20:13:19 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2491.158936, 190.684723, 5144.207520>)
20:13:23 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2468.490479, 190.278900, 5149.458496>)
20:13:24 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2457.455811, 190.215317, 5148.241699>)
20:13:24 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2445.911865, 190.045334, 5147.099609>)
20:13:25 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2435.267334, 190.002670, 5146.036133>)
20:13:25 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2423.763672, 190.055954, 5146.795898>)
20:13:28 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2405.114258, 189.564789, 5148.203613>)
20:13:29 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2394.905029, 189.454590, 5147.848633>)
20:13:29 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2385.266602, 189.366287, 5146.354492>)
20:13:29 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2376.451904, 189.310867, 5144.873047>)
20:13:30 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2365.308350, 189.163452, 5142.931152>)
20:13:30 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2354.445068, 188.796112, 5141.019043>)
20:13:32 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2369.336182, 189.163193, 5142.401367>)
20:13:32 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<2386.151123, 189.392609, 5145.062988>)
20:13:35 | "Barreto" (steamid=76561198360290787) toggled freecam
20:14:17 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<11876.183594, 145.051376, 12421.996094>)
20:14:18 | "Barreto" (steamid=76561198360290787) toggled freecam
20:16:55 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12034.594727, 140.000046, 12484.630859>)
20:17:1 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12055.890625, 140.000000, 12484.265625>)
20:17:2 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12067.604492, 139.999969, 12487.434570>)
20:17:2 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12082.533203, 140.000000, 12491.449219>)
20:17:3 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12104.541992, 140.000000, 12497.573242>)
20:17:3 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12130.331055, 139.999985, 12505.461914>)
20:17:3 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12161.260742, 139.999985, 12516.940430>)
20:17:4 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12200.624023, 140.000000, 12532.949219>)
20:17:4 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12239.810547, 140.000000, 12548.912109>)
20:17:7 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<11161.919922, 218.809479, 12327.938477>)
20:17:12 | "Barreto" (steamid=76561198360290787) toggled freecam
20:17:17 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12151.215820, 139.999969, 12541.428711>)
20:17:18 | "Barreto" (steamid=76561198360290787) toggled freecam
20:17:59 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12228.043945, 140.000000, 12532.992188>)
20:18:0 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12233.820313, 139.999985, 12510.038086>)
20:18:0 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12224.265625, 140.000015, 12497.770508>)
20:18:1 | "Barreto" (steamid=76561198360290787) teleported to crosshair (pos=<12215.094727, 140.000000, 12486.584961>)
20:18:9 | Player "Barreto" (steamId=76561198360290787) initiated disconnect process...
20:18:24 | Player "Barreto" (steamId=76561198360290787) disconnected from server.
